trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
72,False,"{'a': 0.2, 'e': 0.27999999999999936}",25,11,26.934064436066073,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.2, 'e': 0.26999999999999935}",20,3,33.716317820184116,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.2, 'e': 0.25999999999999934}",30,16,-15.571414583003381,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
75,False,"{'a': 0.2, 'e': 0.24999999999999933}",25,7,-25.992340608981845,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
76,False,"{'a': 0.2, 'e': 0.23999999999999932}",25,11,12.520806884343099,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
77,False,"{'a': 0.2, 'e': 0.22999999999999932}",25,14,10.381721727113664,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
78,False,"{'a': 0.2, 'e': 0.2199999999999993}",30,18,20.807828321562024,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.2, 'e': 0.2099999999999993}",25,18,11.510633732147474,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.2, 'e': 0.1999999999999993}",20,9,20.153683158850555,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.2, 'e': 0.18999999999999928}",30,21,8.44289960750988,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.2, 'e': 0.17999999999999927}",20,6,26.63867806476638,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.2, 'e': 0.16999999999999926}",30,13,-24.539316051079737,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 0}",1
84,False,"{'a': 0.2, 'e': 0.15999999999999925}",20,3,-15.129796047465867,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
85,False,"{'a': 0.2, 'e': 0.14999999999999925}",30,16,23.925956662931494,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.2, 'e': 0.13999999999999924}",20,0,21.551217321123175,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
87,False,"{'a': 0.2, 'e': 0.12999999999999923}",20,6,25.870943000849948,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.2, 'e': 0.11999999999999923}",20,5,29.717257441935796,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.2, 'e': 0.10999999999999924}",25,10,31.64146047623378,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.2, 'e': 0.09999999999999924}",30,6,28.430779225476307,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
91,False,"{'a': 0.2, 'e': 0.08999999999999925}",25,17,15.066315954919308,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.2, 'e': 0.07999999999999925}",30,14,25.749711815268665,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.2, 'e': 0.06999999999999926}",25,18,10.882507488529024,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.2, 'e': 0.059999999999999255}",30,16,26.790077146117262,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.2, 'e': 0.04999999999999925}",25,8,30.50559346348012,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.2, 'e': 0.03999999999999925}",20,0,22.685864834371312,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
97,False,"{'a': 0.2, 'e': 0.02999999999999925}",20,10,23.238990993836733,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.2, 'e': 0.019999999999999248}",20,11,14.537118087959833,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.2, 'e': 0.009999999999999247}",30,12,32.73812264881041,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,13,27.938327671834674,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,11,28.72741791616079,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",30,9,33.83795295009003,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,12,14.985963721298397,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",30,20,20.285559710591603,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,2,31.87354696987556,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,11,23.626704289909153,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,12,24.76958374573534,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,16,5.746906570307546,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,12,18.048781379204286,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
